subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links,subject_norm,api_broadcast_id,match_score
The biggest problem people face with AI agents,2025-09-10,14:45:03,6578,3212,48.83,201,3.06,6.26,17,0.26,False,Value,Yes,the biggest problem people face with ai agents,20926090.0,1.0
AI App Sprint recording processing now,2025-09-10,9:30:07,808,648,80.2,15,1.86,2.31,0,0.0,False,Value,Yes,ai app sprint recording processing now,20924744.0,1.0
Quick update on the AI Agent Bootcamp,2025-09-11,14:30:15,6626,3381,51.03,405,6.11,11.98,21,0.32,False,Sales,Yes,quick update on the ai agent bootcamp,,0.35051546391752575
Should you be building AI Agents?,2025-09-12,15:25:02,17968,6640,36.95,644,3.58,9.7,23,0.13,False,Value,Yes,should you be building ai agents,20957091.0,1.0
For anyone who wants to build AI agents,2025-09-13,14:30:07,17968,6759,37.62,648,3.61,9.59,38,0.21,False,Value,Yes,for anyone who wants to build ai agents,20957163.0,1.0
Livestream recording and slides,2025-09-14,14:07:45,18038,9028,50.05,1430,7.93,15.84,42,0.23,False,Value,Yes,livestream recording and slides,20975737.0,1.0
Going live NOW,2025-09-14,0:00:12,17961,6631,36.92,715,3.98,10.78,34,0.19,False,Value,Yes,going live now,,0.35555555555555557
A quick heads up for tomorrow,2025-09-15,16:30:13,6444,3319,51.51,16,0.25,0.48,25,0.39,False,Sales,Yes,a quick heads up for tomorrow,20991135.0,1.0
A quick heads up for tomorrow,2025-09-15,16:46:19,11268,3517,31.21,241,2.14,6.85,43,0.38,False,Sales,No,a quick heads up for tomorrow,20991135.0,1.0
sold out,2025-09-16,17:32:57,6574,3495,53.16,148,2.25,4.23,51,0.78,False,Sales,Yes,sold out,21001675.0,1.0
sold out,2025-09-16,17:39:45,11220,3756,33.48,180,1.6,4.79,120,1.07,False,Sales,No,sold out,21001675.0,1.0
Your private invite to join the AI Agent Bootcamp,2025-09-16,15:00:31,6677,3515,52.64,1294,19.38,36.81,20,0.3,False,Sales,Yes,your private invite to join the ai agent bootcamp,,0.1794871794871795
How to use AI without compromising your company's privacy,2025-09-20,14:30:04,18076,6806,37.65,222,1.23,3.26,163,0.9,False,Value,Yes,how to use ai without compromising your company s privacy,21055800.0,1.0
Get Ready for the AI Agent Bootcamp Kickoff 🚀,2025-09-20,0:55:11,111,103,92.79,19,17.12,18.45,0,0.0,False,Value,Yes,get ready for the ai agent bootcamp kickoff,21061564.0,1.0
AI Agents Bootcamp Kicks Off Today! 🎉,2025-09-21,12:04:42,111,92,82.88,0,0.0,0.0,0,0.0,False,Value,Yes,ai agents bootcamp kicks off today,21061993.0,1.0
Kick off event recording and slides now posted! 🌻,2025-09-21,16:44:36,111,100,90.09,0,0.0,0.0,0,0.0,False,Value,Yes,kick off event recording and slides now posted,21073898.0,1.0
AI Agent Bootcamp - Week 1 Fundamentals & Assignment!,2025-09-22,15:01:11,111,101,90.99,0,0.0,0.0,0,0.0,False,Value,Yes,ai agent bootcamp week 1 fundamentals assignment,21084115.0,1.0
Week 1 Recording & Materials Now Available!,2025-09-23,2:14:08,111,96,86.49,0,0.0,0.0,0,0.0,False,Value,Yes,week 1 recording materials now available,21094873.0,1.0
Week 1 Q&A Recording Now Available!,2025-09-25,16:56:56,110,85,77.27,23,20.91,27.06,0,0.0,False,Value,Yes,week 1 q a recording now available,21134486.0,1.0
Reminder: Optional Q&A Session Today @ 11 AM EST,2025-09-25,12:11:19,110,88,80.0,0,0.0,0.0,0,0.0,False,Value,Yes,reminder optional q a session today 11 am est,21129290.0,1.0
How I survived financially after quitting my job at Meta,2025-09-26,20:55:02,18083,7169,39.64,218,1.21,3.04,29,0.16,False,Value,Yes,how i survived financially after quitting my job at meta,21151708.0,1.0
My first YouTube video,2025-09-28,14:40:02,18103,8542,47.19,226,1.25,2.65,53,0.29,False,Value,Yes,my first youtube video,21155210.0,1.0
AI Agent Bootcamp - Week 2 Workshop & Second Assignment!,2025-09-29,15:00:24,109,90,82.57,0,0.0,0.0,0,0.0,False,Value,Yes,ai agent bootcamp week 2 workshop second assignment,21176400.0,1.0
Freelancing in the age of AI?,2025-09-30,14:30:06,18061,8616,47.7,223,1.23,2.59,38,0.21,False,Value,Yes,freelancing in the age of ai,,0.32
Week 2 Recording Now Available & Important Update!,2025-09-30,1:55:55,109,88,80.73,0,0.0,0.0,0,0.0,False,Value,Yes,week 2 recording now available important update,21187040.0,1.0
Look out for tomorrow,2025-10-01,14:30:13,18039,6454,35.78,219,1.21,3.39,29,0.16,False,Sales,No,look out for tomorrow,,0.17647058823529413
Just launched…,2025-10-02,14:00:48,17927,6663,37.17,1453,8.11,21.81,40,0.22,False,Sales,Yes,just launched,21223995.0,1.0
